time,ax,ay,az,wx,wy,wz,Bx,By,Bz,Unnamed: 10,time_diff,acc_mag,acc_mag_filtered,label
0.130435,0.0,0.0,0.0,0.0,0.0,0.0,40.725,17.475,8.775,,0.0,0.0,0.0002471641113782537,non_fall
0.137063,0.0,0.0,0.0,0.0,0.0,0.0,40.725,17.475,8.775,,0.006627999999999995,0.0,0.014036695373124446,non_fall
0.152193,0.0,0.0,0.0,0.0026,0.0342,0.0165,40.725,17.475,8.775,,0.015130000000000005,0.0,0.027776328570870912,non_fall
0.181171,0.0,0.0,0.0,0.0026,0.0342,0.0165,40.725,17.475,8.775,,0.028978000000000004,0.0,0.04143444983086094,non_fall
0.182448,-0.003,0.0882,-0.0251,0.0026,0.0342,0.0165,40.725,17.475,8.775,,0.0012770000000000004,0.09175102179267543,0.05492759343597161,non_fall
0.196315,-0.003,0.0882,-0.0251,0.0026,0.0342,0.0165,41.025,17.55,9.15,,0.01386699999999999,0.09175102179267543,0.06815079256605142,non_fall
0.219277,-0.003,0.0882,-0.0251,-0.0292,0.0629,-0.0029,41.025,17.55,9.15,,0.02296200000000001,0.09175102179267543,0.08103134576370775,non_fall
0.228583,-0.003,0.0882,-0.0251,-0.0292,0.0629,-0.0029,41.025,17.55,9.15,,0.009306000000000009,0.09175102179267543,0.09356971740970232,non_fall
0.232713,-0.0905,0.057,-0.0314,-0.0292,0.0629,-0.0029,41.025,17.55,9.15,,0.004129999999999995,0.11146842602279804,0.10583925560989693,non_fall
0.266022,-0.0905,0.057,-0.0314,-0.0292,0.0629,-0.0029,41.025,17.25,9.225,,0.03330899999999998,0.11146842602279804,0.11794003009717874,non_fall
0.282813,-0.0905,0.057,-0.0314,-0.0292,0.0629,-0.0029,41.025,17.25,9.225,,0.016791,0.11146842602279804,0.12992427869400036,non_fall
0.284516,-0.1322,0.0491,0.0327,-0.0292,0.0629,-0.0029,41.025,17.25,9.225,,0.00170300000000001,0.1447651201084018,0.1417221390366409,non_fall
0.288052,-0.1322,0.0491,0.0327,-0.0316,0.0987,-0.0116,41.025,17.25,9.225,,0.0035359999999999836,0.1447651201084018,0.15309597493015006,non_fall
0.332307,-0.1322,0.0491,0.0327,-0.0316,0.0987,-0.0116,41.025,17.25,9.225,,0.044255000000000044,0.1447651201084018,0.16364255789237023,non_fall
0.336984,-0.1682,0.06,-0.0591,-0.0316,0.0987,-0.0116,41.025,17.25,9.225,,0.004676999999999987,0.18810648579993194,0.17284855255890658,non_fall
0.34321,-0.1682,0.06,-0.0591,-0.0316,0.0987,-0.0116,41.55,17.55,10.05,,0.006226000000000009,0.18810648579993194,0.18018993092098043,non_fall
0.358719,-0.1682,0.06,-0.0591,-0.0455,0.0977,-0.0191,41.55,17.55,10.05,,0.015508999999999995,0.18810648579993194,0.1852534271375675,non_fall
0.375983,-0.1682,0.06,-0.0591,-0.0455,0.0977,-0.0191,41.55,17.55,10.05,,0.017264,0.18810648579993194,0.1878519857383052,non_fall
0.377483,-0.1833,0.0365,0.034,-0.0455,0.0977,-0.0191,41.55,17.55,10.05,,0.0015000000000000013,0.18996615488028387,0.18810868120598545,non_fall
0.403461,-0.1833,0.0365,0.034,-0.0455,0.0977,-0.0191,40.65,17.55,10.35,,0.025978,0.18996615488028387,0.18649172913908582,non_fall
0.428928,-0.1833,0.0365,0.034,-0.0304,0.1155,0.0014,40.65,17.55,10.35,,0.025466999999999962,0.18996615488028387,0.18379142848161975,non_fall
0.431152,-0.1833,0.0365,0.034,-0.0304,0.1155,0.0014,40.65,17.55,10.35,,0.0022240000000000038,0.18996615488028387,0.18103606891338336,non_fall
0.432439,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,40.65,17.55,10.35,,0.0012870000000000381,0.1906089452255586,0.17934995767989054,non_fall
0.474025,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,39.525,17.55,10.275,,0.041585999999999956,0.1906089452255586,0.1797655140735506,non_fall
0.477698,-0.1832,-0.0488,0.0197,-0.0304,0.1155,0.0014,39.525,17.55,10.275,,0.0036730000000000373,0.1906089452255586,0.18301433184582264,non_fall
0.479013,-0.1108,0.0749,-0.0291,-0.0304,0.1155,0.0014,39.525,17.55,10.275,,0.0013150000000000106,0.13687023051050948,0.18933857610746652,non_fall
0.500096,-0.1108,0.0749,-0.0291,-0.0127,0.077,-0.011,39.525,17.55,10.275,,0.021082999999999963,0.13687023051050948,0.198378951791717,non_fall
0.527207,-0.1108,0.0749,-0.0291,-0.0127,0.077,-0.011,39.525,17.55,10.275,,0.027110999999999996,0.13687023051050948,0.20919616557437598,non_fall
0.529764,-0.2955,-0.0455,0.0164,-0.0127,0.077,-0.011,39.525,17.55,10.275,,0.0025570000000000315,0.29943189542866,0.22045330915427871,non_fall
0.549209,-0.2955,-0.0455,0.0164,-0.0127,0.077,-0.011,40.275,18.225,10.65,,0.019444999999999935,0.29943189542866,0.23072470032795284,non_fall
0.566308,-0.2955,-0.0455,0.0164,0.0043,0.0721,0.0144,40.275,18.225,10.65,,0.017099000000000086,0.29943189542866,0.23883037368933557,non_fall
0.58229,-0.2955,-0.0455,0.0164,0.0043,0.0721,0.0144,40.275,18.225,10.65,,0.01598199999999994,0.29943189542866,0.2440708800365956,non_fall
0.584483,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.275,18.225,10.65,,0.0021930000000000005,0.17277413000793837,0.2462797916623827,non_fall
0.613764,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.65,18.225,10.95,,0.029281,0.17277413000793837,0.24570028305947128,non_fall
0.62456,-0.1415,-0.0028,0.0991,0.0043,0.0721,0.0144,40.65,18.225,10.95,,0.010796000000000028,0.17277413000793837,0.24277384708476202,non_fall
0.626347,-0.2783,0.0452,-0.0158,0.0043,0.0721,0.0144,40.65,18.225,10.95,,0.001786999999999983,0.28238904015559807,0.23795423039998487,non_fall
