time,ax,ay,az,wx,wy,wz,Bx,By,Bz,time_diff,acc_mag,acc_mag_filtered,label
0.028673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005975600675195737,non_fall
0.048673,-0.2189,-0.2117,0.5008,0.01025,-0.2496,-0.0151,0.0,0.0,0.0,0.02,0.5861183668850517,0.2194074086038041,non_fall
0.068673,0.1602,-0.4344,0.3763,0.0371,-0.2227,-0.0139,0.0,0.0,0.0,0.019999999999999997,0.5966314524059221,0.40513611302633384,non_fall
0.088673,0.2845,-0.4212,0.1421,-0.0069,-0.0969,0.0692,2.25,22.4531,-6.0469,0.020000000000000004,0.5277708783174759,0.5336854871436529,non_fall
0.108673,0.203,-0.4639,0.2665,0.0158,-0.0169,0.0398,4.5,44.9062,-12.0938,0.020000000000000004,0.5722188916839429,0.5996052813380911,non_fall
0.128673,-0.0016,-0.4297,0.3819,0.02555,-0.0303,0.02215,4.5,44.9062,-12.0938,0.020000000000000004,0.574884562325342,0.6138459876341714,non_fall
0.148673,-0.0899,-0.3602,0.3787,-0.0001,-0.1525,0.0661,-47.6438,1.8188,-11.2125,0.01999999999999999,0.5303204125809226,0.5970269020588889,non_fall
0.168673,-0.0349,-0.3573,0.2846,-0.00805,-0.24105,0.0912,-47.6438,1.8188,-11.2125,0.01999999999999999,0.4581249392905826,0.570581061283218,non_fall
0.188673,0.175,-0.3883,0.2206,-0.00745,-0.26855,0.07345,-47.6438,1.8188,-11.2125,0.020000000000000018,0.479652217757825,0.5494590099959019,non_fall
0.208673,0.3388,-0.3926,0.1928,0.00295,-0.19525,0.0435,-47.6438,1.8188,-11.2125,0.01999999999999999,0.5532558540133128,0.5388615528463533,non_fall
0.228673,0.3449,-0.4677,0.1851,0.00355,-0.1116,0.05325,-47.6438,1.1438,-10.3313,0.01999999999999999,0.6098863090773559,0.5355806448864503,non_fall
0.248673,0.1641,-0.5233,0.2902,0.0018,-0.0957,0.0911,-47.6438,1.1438,-10.3313,0.020000000000000018,0.6204738028313525,0.5326109367770132,non_fall
0.268673,-0.0153,-0.3978,0.3768,0.0005,-0.1715,0.1242,-47.7938,1.2938,-10.18125,0.01999999999999999,0.5481397358338473,0.5245044223441447,non_fall
0.288673,-0.0731,-0.3317,0.452,-0.02145,-0.3138,0.1302,-47.9438,1.4438,-10.0312,0.020000000000000018,0.5653958790086818,0.5109700688058154,non_fall
0.308673,0.0961,-0.3559,0.2958,-0.03245,-0.34125,0.1272,-47.9438,1.4438,-10.0312,0.019999999999999962,0.4726496165236993,0.4973253833511814,non_fall
0.328673,0.3145,-0.2344,0.159,-0.0539,-0.33455,0.14855,-47.9438,1.4438,-10.0312,0.020000000000000018,0.42324296804554234,0.491943495567054,non_fall
0.348673,0.3965,-0.1992,0.075,-0.09415,-0.3144,0.16755,-47.6438,1.6313,-9.9375,0.020000000000000018,0.45001987733876825,0.5021119525155862,non_fall
0.368673,0.4685,-0.1871,0.0832,-0.11855,-0.30395,0.1583,-47.6438,1.6313,-9.9375,0.019999999999999962,0.5112933600194707,0.5302624097641985,non_fall
0.388673,0.4889,-0.2347,0.1644,-0.11795,-0.31495,0.1388,-47.6438,1.6313,-9.9375,0.020000000000000018,0.5666874447171033,0.5722013475798973,non_fall
0.408673,0.3872,-0.3788,0.3144,-0.0972,-0.3474,0.1449,-47.9438,1.8188,-8.85,0.020000000000000018,0.6263071450973555,0.6180135624955015,non_fall
0.428673,0.3007,-0.4364,0.386,-0.0758,-0.39685,0.18645,-47.9438,1.8188,-8.85,0.020000000000000018,0.6556382005344106,0.6552299304809185,non_fall
0.448673,0.4647,-0.4034,0.3503,-0.0673,-0.40845,0.19685,-47.9438,1.8188,-8.85,0.019999999999999962,0.7080873816133147,0.6730780794623066,non_fall
0.468673,0.5878,-0.3198,0.2487,-0.03,-0.3266,0.1657,-48.825,2.6063,-8.3813,0.020000000000000018,0.7138855440475034,0.6663087145296527,non_fall
0.488673,0.6465,-0.3224,0.1511,-0.0098,-0.2648,0.148,-48.825,2.6063,-8.3813,0.020000000000000018,0.7380617995804958,0.6371803847046333,non_fall
0.508673,0.5526,-0.2336,0.0615,-0.0154,-0.23,0.1584,-48.825,2.6063,-8.3813,0.020000000000000018,0.6030903497818548,0.5947018939826818,non_fall
0.528673,0.3585,-0.247,0.0596,-0.0264,-0.2276,0.1792,-48.525,3.2063,-7.7813,0.019999999999999907,0.43941257378459253,0.5512158414379927,non_fall
0.548673,0.2776,-0.2538,0.0693,-0.03,-0.2558,0.1877,-48.525,3.2063,-7.7813,0.020000000000000018,0.3824639721594702,0.5176504081659674,non_fall
0.568673,0.2095,-0.4301,0.0688,-0.0362,-0.252,0.1779,-48.525,3.2063,-7.7813,0.020000000000000018,0.4833318735610139,0.4996135441811307,non_fall
0.588673,0.2493,-0.4931,0.0458,-0.0422,-0.2375,0.1827,-48.525,3.2063,-6.6188,0.020000000000000018,0.5544328092744872,0.49622753458109103,non_fall
0.608673,0.2014,-0.4571,0.0259,-0.0715,-0.2375,0.2232,-48.525,3.2063,-6.6188,0.020000000000000018,0.5001731500190709,0.5021804601277103,non_fall
0.628673,0.163,-0.5547,0.0984,-0.0924,-0.252,0.2353,-48.525,3.2063,-6.6188,0.020000000000000018,0.5864670920009067,0.5117843835535747,non_fall
0.648673,0.1179,-0.6137,0.1462,-0.0984,-0.3266,0.234,-49.0125,3.975,-5.8313,0.020000000000000018,0.6417963384127398,0.5228864559033793,non_fall
0.668673,0.0728,-0.465,0.2271,-0.1217,-0.4341,0.2219,-49.0125,3.975,-5.8313,0.019999999999999907,0.5225889876375124,0.5386501752376612,non_fall
0.688673,0.0728,-0.465,0.2271,-0.1217,-0.4341,0.2219,-49.0125,3.975,-5.8313,0.020000000000000018,0.5225889876375124,0.5662962339534381,non_fall
0.708673,0.3348,-0.1761,0.4118,-0.09415,-0.44085,0.12295,-49.0125,3.975,-5.8313,0.020000000000000018,0.5591793004037257,0.6133876370337517,non_fall
