
time,ax,ay,az,wx,wy,wz,Bx,By,Bz,
0.016230,0.0000,0.0000,0.0000,-0.0112,0.0282,-0.0011,0.0000,0.0000,0.0000,
0.024009,0.0000,0.0000,0.0000,-0.0112,0.0282,-0.0011,36.6000,-9.6600,-4.5000,
0.035331,0.0000,0.0000,0.0000,-0.0112,0.0282,-0.0011,36.6000,-9.6600,-4.5000,
0.039922,0.0000,0.0000,0.0000,-0.0112,0.0282,-0.0011,36.6000,-9.6600,-4.5000,
0.056478,0.0000,0.0000,0.0000,-0.0112,0.0282,-0.0011,36.6000,-9.6600,-4.5000,
0.075933,0.0000,0.0000,0.0000,-0.0442,0.0272,-0.0064,36.6000,-9.6600,-4.5000,
0.085035,0.0000,0.0000,0.0000,-0.0442,0.0272,-0.0064,28.6200,-9.1200,13.6800,
0.096564,0.0000,0.0000,0.0000,-0.0602,0.0804,0.0160,28.6200,-9.1200,13.6800,
0.102158,0.0000,0.0000,0.0000,-0.0602,0.0804,0.0160,28.6200,-9.1200,13.6800,
0.102697,0.0826,0.0489,-0.0126,-0.0602,0.0804,0.0160,28.6200,-9.1200,13.6800,
0.118008,0.0826,0.0489,-0.0126,-0.0618,0.0591,0.0138,28.6200,-9.1200,13.6800,
0.137823,0.0826,0.0489,-0.0126,-0.0735,0.0170,0.0032,28.6200,-9.1200,13.6800,
0.146437,0.0826,0.0489,-0.0126,-0.0735,0.0170,0.0032,24.8400,-8.0400,22.3800,
0.158620,0.0826,0.0489,-0.0126,-0.0692,-0.0352,-0.0027,24.8400,-8.0400,22.3800,
0.162305,0.0826,0.0489,-0.0126,-0.0692,-0.0352,-0.0027,24.8400,-8.0400,22.3800,
0.162817,-0.1933,-0.0488,0.0423,-0.0692,-0.0352,-0.0027,24.8400,-8.0400,22.3800,
0.178517,-0.1933,-0.0488,0.0423,-0.0458,-0.0138,-0.0048,24.8400,-8.0400,22.3800,
0.199363,-0.1933,-0.0488,0.0423,-0.0368,0.0298,-0.0154,24.8400,-8.0400,22.3800,
0.208704,-0.1933,-0.0488,0.0423,-0.0368,0.0298,-0.0154,20.5800,-7.5000,30.7200,
0.219944,-0.1933,-0.0488,0.0423,-0.0607,0.0565,-0.0346,20.5800,-7.5000,30.7200,
0.225012,-0.1933,-0.0488,0.0423,-0.0607,0.0565,-0.0346,20.5800,-7.5000,30.7200,
0.225846,0.0778,-0.0985,0.0377,-0.0607,0.0565,-0.0346,20.5800,-7.5000,30.7200,
0.240492,0.0778,-0.0985,0.0377,-0.0724,0.1300,-0.0362,20.5800,-7.5000,30.7200,
0.261076,0.0778,-0.0985,0.0377,-0.0075,0.2157,-0.0298,20.5800,-7.5000,30.7200,
0.270057,0.0778,-0.0985,0.0377,-0.0075,0.2157,-0.0298,20.3400,-8.0400,30.9000,
0.281370,0.0778,-0.0985,0.0377,0.1023,0.2439,-0.0442,20.3400,-8.0400,30.9000,
0.285292,0.0778,-0.0985,0.0377,0.1023,0.2439,-0.0442,20.3400,-8.0400,30.9000,
0.285894,-0.0341,0.1316,-0.1548,0.1023,0.2439,-0.0442,20.3400,-8.0400,30.9000,
0.302026,-0.0341,0.1316,-0.1548,0.0618,0.6285,-0.1912,20.3400,-8.0400,30.9000,
0.322877,-0.0341,0.1316,-0.1548,0.1614,0.8714,-1.1739,20.3400,-8.0400,30.9000,
0.331582,-0.0341,0.1316,-0.1548,0.1614,0.8714,-1.1739,20.2200,-8.1600,31.4400,
0.343033,-0.0341,0.1316,-0.1548,0.0405,0.8852,-1.5974,20.2200,-8.1600,31.4400,
0.347246,-0.0341,0.1316,-0.1548,0.0405,0.8852,-1.5974,20.2200,-8.1600,31.4400,
0.347855,1.3075,1.4065,-0.9858,0.0405,0.8852,-1.5974,20.2200,-8.1600,31.4400,
0.363481,1.3075,1.4065,-0.9858,-0.1806,1.3465,-1.7012,20.2200,-8.1600,31.4400,
0.383911,1.3075,1.4065,-0.9858,-0.2365,0.9699,-1.8589,20.2200,-8.1600,31.4400,
0.392541,1.3075,1.4065,-0.9858,-0.2365,0.9699,-1.8589,19.8000,-7.9800,32.0400,
0.404322,1.3075,1.4065,-0.9858,0.0149,1.2725,-1.7305,19.8000,-7.9800,32.0400,
0.409237,1.3075,1.4065,-0.9858,0.0149,1.2725,-1.7305,19.8000,-7.9800,32.0400,
0.409709,-0.5354,-0.5880,0.9253,0.0149,1.2725,-1.7305,19.8000,-7.9800,32.0400,
0.425105,-0.5354,-0.5880,0.9253,0.4554,0.8155,-1.7113,19.8000,-7.9800,32.0400,
0.445723,-0.5354,-0.5880,0.9253,1.0381,0.1209,-2.0650,19.8000,-7.9800,32.0400,
0.454480,-0.5354,-0.5880,0.9253,1.0381,0.1209,-2.0650,19.1400,-7.8000,32.2200,
0.466350,-0.5354,-0.5880,0.9253,1.2389,0.4527,-2.5012,19.1400,-7.8000,32.2200,
0.470532,-0.5354,-0.5880,0.9253,1.2389,0.4527,-2.5012,19.1400,-7.8000,32.2200,
0.470997,1.2306,0.1418,-0.7922,1.2389,0.4527,-2.5012,19.1400,-7.8000,32.2200,
0.486722,1.2306,0.1418,-0.7922,0.6786,0.9859,-2.6770,19.1400,-7.8000,32.2200,
0.507262,1.2306,0.1418,-0.7922,-0.1571,0.5827,-2.9071,19.1400,-7.8000,32.2200,
0.516227,1.2306,0.1418,-0.7922,-0.1571,0.5827,-2.9071,18.1200,-5.5800,33.3600,
0.528005,1.2306,0.1418,-0.7922,-0.6914,-0.1571,-3.0930,18.1200,-5.5800,33.3600,
0.533575,1.2306,0.1418,-0.7922,-0.6914,-0.1571,-3.0930,18.1200,-5.5800,33.3600,
0.534296,-0.1116,-0.4646,0.0572,-0.6914,-0.1571,-3.0930,18.1200,-5.5800,33.3600,
0.548554,-0.1116,-0.4646,0.0572,-0.5790,-0.4868,-3.0701,18.1200,-5.5800,33.3600,
0.570309,-0.1116,-0.4646,0.0572,-0.3835,-0.4075,-2.7947,18.1200,-5.5800,33.3600,
0.578626,-0.1116,-0.4646,0.0572,-0.3835,-0.4075,-2.7947,16.8000,-2.4000,34.3800,
0.589866,-0.1116,-0.4646,0.0572,-0.2226,-0.2120,-2.6706,16.8000,-2.4000,34.3800,
0.593915,-0.1116,-0.4646,0.0572,-0.2226,-0.2120,-2.6706,16.8000,-2.4000,34.3800,
0.594621,-0.2888,-1.5483,0.0356,-0.2226,-0.2120,-2.6706,16.8000,-2.4000,34.3800,
0.610251,-0.2888,-1.5483,0.0356,0.0170,0.0091,-2.6472,16.8000,-2.4000,34.3800,
0.630839,-0.2888,-1.5483,0.0356,0.2967,0.1246,-2.3590,16.8000,-2.4000,34.3800,
0.639604,-0.2888,-1.5483,0.0356,0.2967,0.1246,-2.3590,15.8400,1.1400,34.6800,
0.651581,-0.2888,-1.5483,0.0356,0.4953,0.0810,-1.9580,15.8400,1.1400,34.6800,
0.655859,-0.2888,-1.5483,0.0356,0.4953,0.0810,-1.9580,15.8400,1.1400,34.6800,
0.656720,-0.3352,-0.5152,0.6594,0.4953,0.0810,-1.9580,15.8400,1.1400,34.6800,
0.671596,-0.3352,-0.5152,0.6594,0.5976,0.0767,-1.5984,15.8400,1.1400,34.6800,
0.692143,-0.3352,-0.5152,0.6594,0.4218,-0.0431,-1.3497,15.8400,1.1400,34.6800,
0.701037,-0.3352,-0.5152,0.6594,0.4218,-0.0431,-1.3497,15.0000,5.4600,35.8200,
0.712733,-0.3352,-0.5152,0.6594,0.3579,0.0437,-1.4488,15.0000,5.4600,35.8200,
0.716952,-0.3352,-0.5152,0.6594,0.3579,0.0437,-1.4488,15.0000,5.4600,35.8200,
0.717752,1.3084,-1.5284,-0.1497,0.3579,0.0437,-1.4488,15.0000,5.4600,35.8200,
0.733266,1.3084,-1.5284,-0.1497,0.5332,-0.2913,-1.3699,15.0000,5.4600,35.8200,
0.753745,1.3084,-1.5284,-0.1497,0.4991,-0.2413,-1.2421,15.0000,5.4600,35.8200,
0.762752,1.3084,-1.5284,-0.1497,0.4991,-0.2413,-1.2421,14.7000,8.8800,36.2400,
0.774386,1.3084,-1.5284,-0.1497,0.2621,-0.2796,-1.1180,14.7000,8.8800,36.2400,
0.778694,1.3084,-1.5284,-0.1497,0.2621,-0.2796,-1.1180,14.7000,8.8800,36.2400,
0.779586,-0.1590,-0.1450,-1.1367,0.2621,-0.2796,-1.1180,14.7000,8.8800,36.2400,
0.799147,-0.1590,-0.1450,-1.1367,0.0586,-0.8197,-0.9316,14.7000,8.8800,36.2400,
0.815559,-0.1590,-0.1450,-1.1367,-0.1518,-1.0504,-0.5662,14.7000,8.8800,36.2400,
0.824620,-0.1590,-0.1450,-1.1367,-0.1518,-1.0504,-0.5662,14.0400,11.7000,36.1800,
0.835717,-0.1590,-0.1450,-1.1367,-0.2514,-1.2597,0.0543,14.0400,11.7000,36.1800,
0.840452,-0.1590,-0.1450,-1.1367,-0.2514,-1.2597,0.0543,14.0400,11.7000,36.1800,
0.841284,-0.1109,-2.2664,1.0226,-0.2514,-1.2597,0.0543,14.0400,11.7000,36.1800,
0.856681,-0.1109,-2.2664,1.0226,-0.1449,-0.8847,0.3979,14.0400,11.7000,36.1800,
0.876589,-0.1109,-2.2664,1.0226,-0.0016,-0.4719,0.9998,14.0400,11.7000,36.1800,
0.885457,-0.1109,-2.2664,1.0226,-0.0016,-0.4719,0.9998,13.6200,13.8000,36.0600,
0.898386,-0.1109,-2.2664,1.0226,0.1342,-0.0959,1.7614,13.6200,13.8000,36.0600,
0.901286,-0.1109,-2.2664,1.0226,0.1342,-0.0959,1.7614,13.6200,13.8000,36.0600,
0.901831,1.0431,-1.7082,-0.3609,0.1342,-0.0959,1.7614,13.6200,13.8000,36.0600,
0.918007,1.0431,-1.7082,-0.3609,-0.3334,-0.9199,2.7090,13.6200,13.8000,36.0600,
0.938962,1.0431,-1.7082,-0.3609,-0.3531,-1.3886,2.6749,13.6200,13.8000,36.0600,
0.948451,1.0431,-1.7082,-0.3609,-0.3531,-1.3886,2.6749,14.2800,14.8800,35.4000,
0.959010,1.0431,-1.7082,-0.3609,0.0202,-0.3265,1.8493,14.2800,14.8800,35.4000,
0.963461,1.0431,-1.7082,-0.3609,0.0202,-0.3265,1.8493,14.2800,14.8800,35.4000,
0.964118,2.9434,4.1554,-0.1102,0.0202,-0.3265,1.8493,14.2800,14.8800,35.4000,
0.979840,2.9434,4.1554,-0.1102,0.6930,0.9752,0.6706,14.2800,14.8800,35.4000,
1.000189,2.9434,4.1554,-0.1102,0.7984,0.9673,-0.0948,14.2800,14.8800,35.4000,
1.008924,2.9434,4.1554,-0.1102,0.7984,0.9673,-0.0948,15.2400,14.3400,34.2600,
1.020654,2.9434,4.1554,-0.1102,0.4139,0.2940,0.1092,15.2400,14.3400,34.2600,
1.024853,2.9434,4.1554,-0.1102,0.4139,0.2940,0.1092,15.2400,14.3400,34.2600,
1.025617,-1.3572,-0.8903,-0.0366,0.4139,0.2940,0.1092,15.2400,14.3400,34.2600,
1.044332,-1.3572,-0.8903,-0.0366,0.2482,0.0378,0.2541,15.2400,14.3400,34.2600,
1.061871,-1.3572,-0.8903,-0.0366,0.3595,-0.0629,0.2802,15.2400,14.3400,34.2600,
1.070767,-1.3572,-0.8903,-0.0366,0.3595,-0.0629,0.2802,16.2600,13.0200,33.5400,
1.082481,-1.3572,-0.8903,-0.0366,0.4384,-0.2200,0.3212,16.2600,13.0200,33.5400,
1.087011,-1.3572,-0.8903,-0.0366,0.4384,-0.2200,0.3212,16.2600,13.0200,33.5400,
1.087713,-0.2447,-0.4917,0.3452,0.4384,-0.2200,0.3212,16.2600,13.0200,33.5400,
1.103108,-0.2447,-0.4917,0.3452,0.4053,-0.3015,0.3904,16.2600,13.0200,33.5400,
1.123670,-0.2447,-0.4917,0.3452,0.3665,-0.2802,0.4394,16.2600,13.0200,33.5400,
1.132660,-0.2447,-0.4917,0.3452,0.3665,-0.2802,0.4394,17.5800,12.0600,33.3600,
1.144197,-0.2447,-0.4917,0.3452,0.3590,-0.2445,0.3915,17.5800,12.0600,33.3600,
1.149047,-0.2447,-0.4917,0.3452,0.3590,-0.2445,0.3915,17.5800,12.0600,33.3600,
1.150032,0.4132,0.1834,-0.0545,0.3590,-0.2445,0.3915,17.5800,12.0600,33.3600,
1.164211,0.4132,0.1834,-0.0545,0.3665,-0.2860,0.3164,17.5800,12.0600,33.3600,
1.185091,0.4132,0.1834,-0.0545,0.3915,-0.3196,0.2828,17.5800,12.0600,33.3600,
1.194202,0.4132,0.1834,-0.0545,0.3915,-0.3196,0.2828,17.9400,11.0400,32.6400,
1.205504,0.4132,0.1834,-0.0545,0.4245,-0.2977,0.3121,17.9400,11.0400,32.6400,
1.209808,0.4132,0.1834,-0.0545,0.4245,-0.2977,0.3121,17.9400,11.0400,32.6400,
1.210783,-0.1911,0.3609,0.3488,0.4245,-0.2977,0.3121,17.9400,11.0400,32.6400,
1.226134,-0.1911,0.3609,0.3488,0.4501,-0.2216,0.3712,17.9400,11.0400,32.6400,
1.246895,-0.1911,0.3609,0.3488,0.4964,-0.1577,0.4437,17.9400,11.0400,32.6400,
1.255513,-0.1911,0.3609,0.3488,0.4964,-0.1577,0.4437,18.2400,11.7000,32.2200,
1.267059,-0.1911,0.3609,0.3488,0.5364,-0.1630,0.5268,18.2400,11.7000,32.2200,
1.273778,-0.1911,0.3609,0.3488,0.5364,-0.1630,0.5268,18.2400,11.7000,32.2200,
1.274625,-0.2220,0.9576,0.9223,0.5364,-0.1630,0.5268,18.2400,11.7000,32.2200,
1.287206,-0.2220,0.9576,0.9223,0.6179,-0.1917,0.5417,18.2400,11.7000,32.2200,
1.308368,-0.2220,0.9576,0.9223,0.8085,-0.1646,0.5364,18.2400,11.7000,32.2200,
1.316641,-0.2220,0.9576,0.9223,0.8085,-0.1646,0.5364,19.2000,12.0600,31.8600,
1.328554,-0.2220,0.9576,0.9223,0.9278,-0.0953,0.6493,19.2000,12.0600,31.8600,
1.333084,-0.2220,0.9576,0.9223,0.9278,-0.0953,0.6493,19.2000,12.0600,31.8600,
1.333897,-0.9478,-0.5587,0.8653,0.9278,-0.0953,0.6493,19.2000,12.0600,31.8600,
1.348976,-0.9478,-0.5587,0.8653,0.9811,-0.0602,0.7691,19.2000,12.0600,31.8600,
1.369425,-0.9478,-0.5587,0.8653,1.0812,0.0788,0.7329,19.2000,12.0600,31.8600,
1.378145,-0.9478,-0.5587,0.8653,1.0812,0.0788,0.7329,20.1600,12.1200,31.0200,
1.390097,-0.9478,-0.5587,0.8653,1.3108,0.1795,0.7302,20.1600,12.1200,31.0200,
1.394209,-0.9478,-0.5587,0.8653,1.3108,0.1795,0.7302,20.1600,12.1200,31.0200,
1.394779,0.1058,0.9778,0.9337,1.3108,0.1795,0.7302,20.1600,12.1200,31.0200,
1.410435,0.1058,0.9778,0.9337,1.5473,0.1486,0.7835,20.1600,12.1200,31.0200,
1.431635,0.1058,0.9778,0.9337,1.5505,0.1209,0.7654,20.1600,12.1200,31.0200,
1.440087,0.1058,0.9778,0.9337,1.5505,0.1209,0.7654,21.2400,13.0800,30.4200,
1.451849,0.1058,0.9778,0.9337,1.2964,0.2929,0.7521,21.2400,13.0800,30.4200,
1.457600,0.1058,0.9778,0.9337,1.2964,0.2929,0.7521,21.2400,13.0800,30.4200,
1.458345,1.0029,0.8973,-1.9805,1.2964,0.2929,0.7521,21.2400,13.0800,30.4200,
1.471929,1.0029,0.8973,-1.9805,1.2048,0.4698,0.7856,21.2400,13.0800,30.4200,
1.492466,1.0029,0.8973,-1.9805,1.3960,0.4985,0.8671,21.2400,13.0800,30.4200,
1.501269,1.0029,0.8973,-1.9805,1.3960,0.4985,0.8671,21.7200,13.9200,29.9400,
1.513229,1.0029,0.8973,-1.9805,1.5329,0.5257,1.1196,21.7200,13.9200,29.9400,
1.517545,1.0029,0.8973,-1.9805,1.5329,0.5257,1.1196,21.7200,13.9200,29.9400,
1.518373,-1.5452,0.9036,-0.8166,1.5329,0.5257,1.1196,21.7200,13.9200,29.9400,
1.533832,-1.5452,0.9036,-0.8166,1.3731,0.5715,1.3028,21.7200,13.9200,29.9400,
1.554265,-1.5452,0.9036,-0.8166,1.2964,0.2061,1.3571,21.7200,13.9200,29.9400,
1.563652,-1.5452,0.9036,-0.8166,1.2964,0.2061,1.3571,21.9600,15.3000,28.6800,
1.575040,-1.5452,0.9036,-0.8166,1.2687,-0.2386,1.3428,21.9600,15.3000,28.6800,
1.580002,-1.5452,0.9036,-0.8166,1.2687,-0.2386,1.3428,21.9600,15.3000,28.6800,
1.580846,-0.1450,0.3187,0.1655,1.2687,-0.2386,1.3428,21.9600,15.3000,28.6800,
1.595326,-0.1450,0.3187,0.1655,1.2943,-0.5028,1.3508,21.9600,15.3000,28.6800,
1.616168,-0.1450,0.3187,0.1655,1.3018,-0.5795,1.3353,21.9600,15.3000,28.6800,
1.624617,-0.1450,0.3187,0.1655,1.3018,-0.5795,1.3353,22.2000,17.1600,27.7200,
1.637242,-0.1450,0.3187,0.1655,1.3848,-0.6413,1.3215,22.2000,17.1600,27.7200,
1.640718,-0.1450,0.3187,0.1655,1.3848,-0.6413,1.3215,22.2000,17.1600,27.7200,
1.641699,1.0772,1.1084,-0.9305,1.3848,-0.6413,1.3215,22.2000,17.1600,27.7200,
1.656993,1.0772,1.1084,-0.9305,1.3875,-0.6056,1.3097,22.2000,17.1600,27.7200,
1.678173,1.0772,1.1084,-0.9305,1.4392,-0.3760,1.3422,22.2000,17.1600,27.7200,
1.687145,1.0772,1.1084,-0.9305,1.4392,-0.3760,1.3422,22.9200,18.2400,26.4000,
1.699178,1.0772,1.1084,-0.9305,1.5521,-0.2200,1.4253,22.9200,18.2400,26.4000,
1.703195,1.0772,1.1084,-0.9305,1.5521,-0.2200,1.4253,22.9200,18.2400,26.4000,
1.704069,1.7562,-1.3161,-0.8650,1.5521,-0.2200,1.4253,22.9200,18.2400,26.4000,
1.718905,1.7562,-1.3161,-0.8650,1.6064,-0.1358,1.4509,22.9200,18.2400,26.4000,
1.739362,1.7562,-1.3161,-0.8650,1.7113,0.0921,1.5010,22.9200,18.2400,26.4000,
1.748300,1.7562,-1.3161,-0.8650,1.7113,0.0921,1.5010,24.6600,19.0800,24.4200,
1.759619,1.7562,-1.3161,-0.8650,1.8285,0.1971,1.6096,24.6600,19.0800,24.4200,
1.763744,1.7562,-1.3161,-0.8650,1.8285,0.1971,1.6096,24.6600,19.0800,24.4200,
1.764549,1.4075,-2.4474,-1.4371,1.8285,0.1971,1.6096,24.6600,19.0800,24.4200,
1.780138,1.4075,-2.4474,-1.4371,1.8552,0.0676,1.7124,24.6600,19.0800,24.4200,
1.801548,1.4075,-2.4474,-1.4371,1.9068,0.0149,1.8141,24.6600,19.0800,24.4200,
1.809727,1.4075,-2.4474,-1.4371,1.9068,0.0149,1.8141,26.2200,19.6200,22.8600,
1.821181,1.4075,-2.4474,-1.4371,2.0576,-0.1145,1.8589,26.2200,19.6200,22.8600,
1.825703,1.4075,-2.4474,-1.4371,2.0576,-0.1145,1.8589,26.2200,19.6200,22.8600,
1.826626,2.1056,-3.4376,-0.6430,2.0576,-0.1145,1.8589,26.2200,19.6200,22.8600,
1.842308,2.1056,-3.4376,-0.6430,2.2568,-0.2455,1.8216,26.2200,19.6200,22.8600,
1.863006,2.1056,-3.4376,-0.6430,2.4975,-0.2450,1.6975,26.2200,19.6200,22.8600,
1.871005,2.1056,-3.4376,-0.6430,2.4975,-0.2450,1.6975,28.0200,19.2000,20.9400,
1.883267,2.1056,-3.4376,-0.6430,2.6424,-0.2317,1.6634,28.0200,19.2000,20.9400,
1.887369,2.1056,-3.4376,-0.6430,2.6424,-0.2317,1.6634,28.0200,19.2000,20.9400,
1.888444,2.7443,-3.2921,-2.0404,2.6424,-0.2317,1.6634,28.0200,19.2000,20.9400,
1.903840,2.7443,-3.2921,-2.0404,2.6530,-0.0453,1.7412,28.0200,19.2000,20.9400,
1.923952,2.7443,-3.2921,-2.0404,2.6781,0.1337,1.8797,28.0200,19.2000,20.9400,
1.932685,2.7443,-3.2921,-2.0404,2.6781,0.1337,1.8797,29.7000,18.6600,19.2000,
1.944531,2.7443,-3.2921,-2.0404,2.7319,0.1555,1.8903,29.7000,18.6600,19.2000,
1.948732,2.7443,-3.2921,-2.0404,2.7319,0.1555,1.8903,29.7000,18.6600,19.2000,
1.949736,2.2723,-2.7745,-2.5173,2.7319,0.1555,1.8903,29.7000,18.6600,19.2000,
1.965878,2.2723,-2.7745,-2.5173,2.6371,0.0517,1.7097,29.7000,18.6600,19.2000,
1.986325,2.2723,-2.7745,-2.5173,2.4309,-0.0868,1.4264,29.7000,18.6600,19.2000,
1.995168,2.2723,-2.7745,-2.5173,2.4309,-0.0868,1.4264,31.2600,18.0600,17.1000,
2.007086,2.2723,-2.7745,-2.5173,2.1827,-0.1795,1.0599,31.2600,18.0600,17.1000,
2.010641,2.2723,-2.7745,-2.5173,2.1827,-0.1795,1.0599,31.2600,18.0600,17.1000,
2.011482,5.3807,-2.1367,-8.3151,2.1827,-0.1795,1.0599,31.2600,18.0600,17.1000,
2.026675,5.3807,-2.1367,-8.3151,1.8557,0.1246,0.7238,31.2600,18.0600,17.1000,
2.047096,5.3807,-2.1367,-8.3151,1.4525,0.7867,0.4911,31.2600,18.0600,17.1000,
2.056729,5.3807,-2.1367,-8.3151,1.4525,0.7867,0.4911,32.8800,17.5800,14.6400,
2.067914,5.3807,-2.1367,-8.3151,1.0956,1.6927,0.4128,32.8800,17.5800,14.6400,
2.072387,5.3807,-2.1367,-8.3151,1.0956,1.6927,0.4128,32.8800,17.5800,14.6400,
2.073138,6.3508,0.6133,-8.2306,1.0956,1.6927,0.4128,32.8800,17.5800,14.6400,
2.088443,6.3508,0.6133,-8.2306,1.2480,2.8821,0.4815,32.8800,17.5800,14.6400,
2.108418,6.3508,0.6133,-8.2306,1.9755,5.2842,0.5944,32.8800,17.5800,14.6400,
2.117792,6.3508,0.6133,-8.2306,1.9755,5.2842,0.5944,34.0200,17.7000,12.3600,
2.129592,6.3508,0.6133,-8.2306,-3.5708,-1.8584,0.6429,34.0200,17.7000,12.3600,
